case_id,n_level2_masks,level2_masks
099A67BA8E24B0,1,mask_Level-II.nii.gz
0A050459AA48B8,1,mask_CTVn_L2.nii.gz
0AB661F6414948,1,mask_CTVn_L2.nii.gz
0AF49C8B161A2A,1,mask_Level-II.nii.gz
0B3553BB9D16FC,1,mask_CTVn_L2.nii.gz
0BB172128DF8BE,1,mask_Level-II.nii.gz
0BB4E53590C209,1,mask_Level-II.nii.gz
0BF850188A89C0,1,mask_CTVn_L2.nii.gz
0C102F04E6A60D,1,mask_Level-II.nii.gz
0C4E9A3BA5CA7F,1,mask_Level-II.nii.gz
0C5B5A6B045484,1,mask_Level-II.nii.gz
0CAF72607ABD24,1,mask_Level-II.nii.gz
0CD8B6CB8F4826,1,mask_Level-II.nii.gz
0D026945FB5269,1,mask_CTVn_L2.nii.gz
0D16159CC17BD9,1,mask_Level-II.nii.gz
0D6D0CFC36594B,1,mask_CTVn_L2.nii.gz
0D7FA8DAB05F11,1,mask_CTVn_L2.nii.gz
0D998276978767,1,mask_CTVn_L2.nii.gz
0DA0AD2F2173F4,1,mask_Level-II.nii.gz
0DA750FC601AAF,1,mask_CTVn_L2.nii.gz
0DC0816214B8AD,1,mask_CTVn_L2.nii.gz
0DDD669C9DB277,1,mask_Level-II.nii.gz
0DE8D7314C78E5,1,mask_CTVn_L2.nii.gz
0DEF8472CDA761,1,mask_Level-II.nii.gz
0E17AD705110FA,1,mask_CTVn_L2.nii.gz
0E3AC0844EBC08,1,mask_Level-II.nii.gz
0E5287AB81E91A,1,mask_CTVn_L2.nii.gz
0E66C2EFE4CAF0,1,mask_Level_2.nii.gz
0E794C18F3F5FE,1,mask_Level-II.nii.gz
0EA1C6F216BDDB,1,mask_Level-II.nii.gz
0EFA9A5A37AD0D,1,mask_Level_2.nii.gz
0EFEA2B88AA7C9,1,mask_CTV-Level-II.nii.gz
0F3F15A9B5F85D,1,mask_CTVn_L2.nii.gz
0F769539E3E62A,1,mask_CTV-Level-II.nii.gz
0FA2F06607C359,1,mask_CTV-Level-II.nii.gz
0FA637F91B021D,1,mask_Level-II.nii.gz
10AAC82E2D64EE,1,mask_CTVn_L2.nii.gz
1103383C5DC631,1,mask_Level-II.nii.gz
11625AED533757,1,mask_Level_2.nii.gz
11DA651570992F,1,mask_Level-II.nii.gz
11FB6FB4403E06,1,mask_Level-II.nii.gz
125BD3B725FB6B,1,mask_CTVn_L2.nii.gz
131E3AA8F3375B,1,mask_CTVn_L2.nii.gz
1360287622C5B3,1,mask_CTV-Level-II.nii.gz
1360E7E4DFE03D,1,mask_Level-II.nii.gz
139C82C48BE3AC,1,mask_CTVn_L2.nii.gz
13CD6C8D03C7B2,1,mask_Level-II.nii.gz
143D31E0534F82,1,mask_Level_2.nii.gz
14559C36BCC5B0,1,mask_CTVn_L2.nii.gz
14B90694BF4824,1,mask_Level-II.nii.gz
14CBEC1EC7772E,1,mask_CTVn_L2.nii.gz
14E3C9C5A0A1A7,1,mask_CTVn_L2.nii.gz
14F78B0C71C40C,1,mask_CTV-N-L2.nii.gz
1525615000D34E,1,mask_Level-II.nii.gz
15C254CDA86D7B,1,mask_CTV-Level-II.nii.gz
16664954BB0195,1,mask_CTV-Level-II.nii.gz
168612D9A5A3D9,1,mask_Level-II.nii.gz
16B187A3FD2B48,1,mask_CTVn_L2.nii.gz
16B92796B1E5EC,1,mask_Level-II.nii.gz
16F77FAE14F5AA,1,mask_CTVn_L2.nii.gz
172FA5828E9039,1,mask_Level-II.nii.gz
1763554D610600,1,mask_CTVn_L2.nii.gz
17B617464B4C59,1,mask_CTVn_L2.nii.gz
17D1DC4F4074CD,1,mask_CTVn_L2.nii.gz
17DDAE0F79F258,1,mask_Level-II.nii.gz
17E788E2FA75B5,1,mask_CTVn_L2.nii.gz
186C0F412F288F,1,mask_CTVn_L2.nii.gz
188CF0681300C4,1,mask_CTV-Level-II.nii.gz
18EA368B96D945,1,mask_CTVn_L2.nii.gz
19A28D0BF61E22,1,mask_Level-II.nii.gz
19F33662D692BF,1,mask_CTVn_L2.nii.gz
1A8141AAFD8B06,1,mask_CTVn_L2.nii.gz
1AB2C0F416CDF3,1,mask_CTV-Level-II.nii.gz
1AC0656608E502,1,mask_Level-II.nii.gz
1B037B200B4E40,1,mask_Level-II.nii.gz
1B388779E3DC9D,1,mask_CTV-Level-II.nii.gz
1B3BA8AD5B64B3,1,mask_Level-II.nii.gz
1B4529A4788226,1,mask_Level-II.nii.gz
1C38BCFE3049B7,1,mask_CTV-Level-II.nii.gz
1C3C6B58A460F0,1,mask_Level-II.nii.gz
1C5689F7C5278D,1,mask_CTVn_L2.nii.gz
1CC7A62D6B66BD,1,mask_Level_2.nii.gz
1CCBC4634B4D19,1,mask_Level-II.nii.gz
1CFA2173324220,1,mask_CTV-N-L2.nii.gz
1D2DE60FC12DF3,1,mask_Level-II.nii.gz
1D85E097BD354D,1,mask_Level_2.nii.gz
1D8A4EB1E917F0,1,mask_CTVn_L2.nii.gz
1DF9D1EADF1CFB,1,mask_Level-II.nii.gz
1DFAF9DC3C68D6,1,mask_CTVn_L2.nii.gz
1E673F41DBA619,1,mask_CTV-Level-II.nii.gz
1E6C8E3597A077,1,mask_CTV-Level-II.nii.gz
1E78E516FCD4A9,1,mask_Level-II.nii.gz
1E790C1FDC3BB1,1,mask_CTV-Level-II.nii.gz
1E80C8F66AA8B2,1,mask_Level-II.nii.gz
1E8324BB1AC759,1,mask_Level-II.nii.gz
1E84A1B66E5DCA,1,mask_Level-II.nii.gz
1ED025085C01C3,1,mask_Level-II.nii.gz
1ED8703D9C99D6,1,mask_CTV-Level-II.nii.gz
1F4C267EEC0171,1,mask_Level-II.nii.gz
1F9ED87C1ADB3A,1,mask_CTVn_L2.nii.gz
1FA6C633472844,1,mask_Level-II.nii.gz
1FBBB0B8B47D39,1,mask_CTVn_L2.nii.gz
1FCC6EC9727714,1,mask_CTVn_L2.nii.gz
1FE33023E03EC8,1,mask_CTV-Level-II.nii.gz
1FE9E3ACAEDA43,1,mask_CTV-Level-II.nii.gz
2005A888240091,1,mask_Level-II.nii.gz
2017F756A03913,1,mask_Level-II.nii.gz
201B0BF87E0D5D,1,mask_CTVn_L2.nii.gz
2068923C0480F6,1,mask_CTVn_L2.nii.gz
20EEA159CC0541,1,mask_CTV-N-L2.nii.gz
211646B8DE066C,1,mask_Level-II.nii.gz
2196FEAEA57C73,1,mask_CTVn_L2.nii.gz
21A80EF4ADC6D1,1,mask_CTV-Level-II.nii.gz
21D86470F6D3D2,1,mask_Level-II.nii.gz
21DF148EE050A7,1,mask_CTVn_L2.nii.gz
21E2B650290339,1,mask_Level-II.nii.gz
21F1BB34AC8993,1,mask_Level_2.nii.gz
221546AEC34236,1,mask_Level-II.nii.gz
2258D8F4F28FFF,1,mask_CTVn_L2.nii.gz
22710722047BD2,1,mask_Level_2.nii.gz
22988F3A9C6AA0,1,mask_CTV-Level-II.nii.gz
22C50F9EDCDC16,1,mask_Level-II.nii.gz
22EA46728BAE41,1,mask_Level_2.nii.gz
231298F6D81362,1,mask_Level_2.nii.gz
235F8C4076A6F5,1,mask_Level_2.nii.gz
23780A2F25C103,1,mask_Level-II.nii.gz
23EE29C7D439F7,1,mask_CTVn_L2.nii.gz
240C6AAD4BE911,1,mask_Level-II.nii.gz
242072EEC47567,1,mask_Level-II.nii.gz
246892AE516E4B,1,mask_CTVn_L2.nii.gz
24A4987C4999CD,1,mask_Level-II.nii.gz
24B2B8DD62271D,1,mask_CTVn_L2.nii.gz
24B8923AC7E869,1,mask_Level-II.nii.gz
24CA69EFB753FA,1,mask_CTVn_L2.nii.gz
2508DFFE7DA5FC,1,mask_Level_2.nii.gz
2544394C705D9F,1,mask_CTVn_L2.nii.gz
257476DD1539CF,1,mask_CTVn_L2.nii.gz
25C3F0F5689CDD,1,mask_CTVn_L2.nii.gz
25E165A58184CB,1,mask_CTVn_L2.nii.gz
2612B9AD2E3BD3,1,mask_CTVn_L2.nii.gz
26260946598F1B,2,mask_Level-2-BO.nii.gz|mask_Level-II.nii.gz
26AB538CDA33DE,1,mask_Level_2.nii.gz
26C6D0B1BFB309,1,mask_CTVn_L2.nii.gz
26C7FE21F082E7,1,mask_Level-II.nii.gz
26FA680124DE82,1,mask_CTVn_L2.nii.gz
270939FF3F2F73,1,mask_CTVn_L2.nii.gz
270C3C929934A3,1,mask_Level-II.nii.gz
27627D3F781994,1,mask_CTVn_L2.nii.gz
27A5FF731C7365,1,mask_CTVn_L2.nii.gz
27C6F8CC10626B,1,mask_CTVn_L2.nii.gz
27D24046A6CFD5,1,mask_CTV-N-L2.nii.gz
2820A01374A000,1,mask_CTVn_L2.nii.gz
28314AE0C52648,1,mask_CTVn_L2.nii.gz
285DA057CCCA60,1,mask_Level-II.nii.gz
28887A7EB80350,1,mask_CTV-N-L2.nii.gz
28AB5EC1C37813,1,mask_CTV-N-L2.nii.gz
28C427BE24E63B,1,mask_Level-II.nii.gz
29189CD5B996DD,1,mask_Level-II.nii.gz
295D561A68323A,1,mask_CTVn_L2.nii.gz
299419A913031B,1,mask_CTVn_L2.nii.gz
29A6B2240042C4,1,mask_Level-II.nii.gz
29AC329F00C66D,1,mask_Level-II.nii.gz
29AEA067AE5557,1,mask_CTVn_L2.nii.gz
29D8AEBE1E652B,1,mask_Level-II.nii.gz
2A4C3EAE0259FA,1,mask_CTVn_L2.nii.gz
2A8776B5C649C7,1,mask_CTV-N-L2.nii.gz
2AA97AE9382885,1,mask_CTVn_L2.nii.gz
2B06966D6BF630,1,mask_CTV-N-L2.nii.gz
2B2614C5359B2B,1,mask_Level-II.nii.gz
2B3463AFAA65E1,1,mask_CTVn_L2.nii.gz
2B63BA2CE4A45D,1,mask_Level-II.nii.gz
2B99488CF1BC69,1,mask_CTV-N-L2.nii.gz
2BAAB9BAD1A1F8,1,mask_Level-II.nii.gz
2BDB06B2EDFB17,1,mask_Level-II.nii.gz
2C8A5896944AE2,1,mask_Level_2.nii.gz
2D2BF03AE3C94D,1,mask_Level-II.nii.gz
2D5DC50393EBD4,1,mask_CTVn_L2.nii.gz
2D6C1668087F2D,1,mask_Level-II.nii.gz
2D7410BE4B79A5,1,mask_CTVn_L2.nii.gz
2D7984F71BCD6D,1,mask_CTVn_L2.nii.gz
2D8A79BA720A42,1,mask_Level-II.nii.gz
2DC6D83B465E84,1,mask_Level-II.nii.gz
2E1893C1BEEE99,1,mask_CTV-N-L2.nii.gz
2E37EE0B28F3C9,1,mask_CTV-Level-II.nii.gz
2EE0E20BDAD8A1,1,mask_CTV-Level-II.nii.gz
2F189521228C28,1,mask_CTVn_L2.nii.gz
2F797EB42C649D,1,mask_Level_2.nii.gz
2FC5CAD425F16E,1,mask_Level-II.nii.gz
3032D61C7F13A1,1,mask_Level-II.nii.gz
3065C75EFDF32E,1,mask_Level_2.nii.gz
306889F416BD4E,1,mask_CTVn_L2.nii.gz
307829E3F88043,1,mask_CTVn_L2.nii.gz
30D78E4ADAA86F,1,mask_CTVn_L2.nii.gz
30DBC093A626FC,1,mask_CTVn_L2.nii.gz
30EE5CDBDBBC5C,1,mask_Level-II.nii.gz
30F35853E48425,1,mask_CTV-Level-II.nii.gz
311ABA2E532B4B,1,mask_Level_2.nii.gz
3185E4560DC465,1,mask_CTVn_L2.nii.gz
32113821A1F6DA,1,mask_Level_2.nii.gz
3211402FCEBBE6,1,mask_CTV-Level-II.nii.gz
3212E48F62B59E,1,mask_CTVn_L2.nii.gz
323CDB9BA7C5AC,1,mask_Level-II.nii.gz
32B53105CAC6AF,1,mask_CTVn_L2.nii.gz
32C637B5148AD1,1,mask_Level-II.nii.gz
32C9692510CAD9,1,mask_Level-II.nii.gz
330BF36A19B804,1,mask_CTVn_L2.nii.gz
3318AB508CB934,1,mask_Level-II.nii.gz
338D019BACF6B1,1,mask_Level-II-III-ap.nii.gz
33BF9C8398A0ED,1,mask_CTVn_L2.nii.gz
33F349BFBB66CA,1,mask_Level-II.nii.gz
33FA26D8631B12,1,mask_Level-II.nii.gz
3430AAEF43C113,1,mask_CTV-Level-II.nii.gz
346F4827A8E411,1,mask_Level-II.nii.gz
34A68D45D3C275,1,mask_Level-II.nii.gz
34D12C3AAC9CCA,1,mask_CTVn_L2.nii.gz
35E326ECD9FAD3,1,mask_CTV-N-L2.nii.gz
361B9F0224E5EA,1,mask_Level-II.nii.gz
36CA356BF965B0,1,mask_Level-II.nii.gz
36E5004B2F1154,1,mask_CTVn_L2.nii.gz
373B1E39FA65BE,1,mask_Level_2.nii.gz
373D3DC80F2284,1,mask_CTVn_L2.nii.gz
375D6837BE3F30,1,mask_CTV-N-L2.nii.gz
37AF06CEB27ED1,1,mask_Level-II.nii.gz
37B91AA55F08E6,1,mask_CTVn_L2.nii.gz
381852A4657DDE,1,mask_CTVn_L2.nii.gz
383C2CB65C2B15,1,mask_Level-II.nii.gz
38C25EF491A53C,1,mask_CTVn_L2.nii.gz
38D9B8D577C2F1,1,mask_Level-II.nii.gz
39646FFD9D3FAD,1,mask_Level-II.nii.gz
3A0F48A613D730,1,mask_CTVn_L2.nii.gz
3A9E1BE2194001,1,mask_CTVn_L2.nii.gz
3B016F49F198D1,1,mask_Level-II.nii.gz
3B08258C6C2F19,1,mask_CTVn_L2.nii.gz
3B2E10B35C9197,1,mask_Level-II.nii.gz
3B358534DA1EB9,1,mask_CTVn_L2.nii.gz
3B4B73AC9280FE,1,mask_CTV-Level-II.nii.gz
3BC23E5F87A7D7,1,mask_CTVn_L2.nii.gz
3BD3B38ACD29F7,1,mask_CTV-Level-II.nii.gz
3C0F767B6D923C,1,mask_Level_2.nii.gz
3CA8282E175F0C,1,mask_CTVn_L2.nii.gz
3CD0132504EA47,1,mask_CTVn_L2.nii.gz
3D132313EE32FE,1,mask_CTVn_L2.nii.gz
3D31155A47CA91,1,mask_CTVn_L2.nii.gz
3D952E621BBB60,1,mask_CTVn_L2.nii.gz
3DACA272C231B3,1,mask_CTV-Level-II.nii.gz
3DDB25D93EECB4,1,mask_Level-II.nii.gz
3E21350237DACF,1,mask_Level-II.nii.gz
3E2A96B39FCE31,1,mask_CTVn_L2.nii.gz
3E553DD003F238,2,mask_CTVn_L2-BO.nii.gz|mask_CTVn_L2.nii.gz
3E7C95668307DA,1,mask_Level-II.nii.gz
3E9F396091D9B6,1,mask_Level-II.nii.gz
3EF9F7CE024A1E,1,mask_Level-II.nii.gz
3F0021CF20F8C4,1,mask_Level_2.nii.gz
3F516BFE949671,1,mask_Level_2.nii.gz
3F518DF37E9905,1,mask_CTVn_L2.nii.gz
3F8D5EE65DC79C,1,mask_Level-II.nii.gz
3FBFA4A6F9671D,1,mask_CTV-Level-II.nii.gz
4006C3D54E6A46,1,mask_CTVn_L2.nii.gz
404741A5A6CAD4,1,mask_Level-II.nii.gz
4070E35820BAEE,1,mask_Level-II.nii.gz
40762D107C13AF,1,mask_Level_2.nii.gz
4079E1E7D625CA,1,mask_CTVn_L2.nii.gz
40878356E555D5,1,mask_CTV-Level-II.nii.gz
40CE9D142A19F9,1,mask_Level-II.nii.gz
415DD83B204994,1,mask_CTVn_L2.nii.gz
417397592DF09B,1,mask_CTVn_L2.nii.gz
41D91533066D49,1,mask_Level-II.nii.gz
421F9474F62DCF,1,mask_Level-II.nii.gz
424971161F6CBA,1,mask_CTVn_L2.nii.gz
426542A6F0AB82,1,mask_CTV-N-L2.nii.gz
429FA189EB6297,1,mask_Level-II.nii.gz
43327691A592C4,1,mask_Level-II.nii.gz
4336263C0B92FE,1,mask_CTVn_L2.nii.gz
43778E055C165E,1,mask_Level-II.nii.gz
43A1D373A957C8,1,mask_CTVn_L2.nii.gz
4409DA06B196D0,1,mask_Level_2.nii.gz
441686A223A64B,1,mask_CTV-N-L2.nii.gz
4427DFBBEC5DE2,1,mask_Level-II.nii.gz
4447C7CB2A6C06,1,mask_Level-II.nii.gz
4481580FD3D2E2,1,mask_Level-II.nii.gz
45354C7BDAF9B4,1,mask_Level-II.nii.gz
4548A6E485980D,1,mask_Level-II.nii.gz
459997CEB610D6,1,mask_CTV-N-L2.nii.gz
45D8733A6D7DC2,1,mask_Level-II.nii.gz
45ED9529F285CE,1,mask_Level-II.nii.gz
45FF699CF00A0B,1,mask_Level-II.nii.gz
460C775B738DFA,1,mask_CTVn_L2.nii.gz
46210F8327E3A8,1,mask_Level-II.nii.gz
46250B5A8A8CAC,1,mask_Level-II.nii.gz
46E9B3D4D11FC0,1,mask_CTV-Level-II.nii.gz
46F7AA391B9FB3,1,mask_Level-II.nii.gz
470AB8164C0CBD,1,mask_Level-II.nii.gz
47116EB95A845F,1,mask_Level-II.nii.gz
4740785524BFD3,1,mask_CTV-N-L2.nii.gz
47475FC69AF883,1,mask_CTV-N-L2.nii.gz
474FCBA090452A,1,mask_Level_2.nii.gz
47611F5032EF38,1,mask_CTV-N-L2.nii.gz
4783A1C7A31F8B,1,mask_CTVn_L2.nii.gz
478759C7962367,1,mask_Level-II.nii.gz
47ACF0F839CEC6,1,mask_CTVn_L2.nii.gz
47CE7B282A3F27,1,mask_CTVn_L2.nii.gz
486BF0A8B5723B,1,mask_CTVn_L2.nii.gz
48A6291AE48A2C,1,mask_CTVn_L2.nii.gz
48D1A1C9104151,1,mask_Level-II.nii.gz
49129F79C1879B,1,mask_CTVn_L2.nii.gz
493DE29A102483,1,mask_CTVn_L2.nii.gz
49664C95BE3199,1,mask_Level-II.nii.gz
49C4BE7CCC7C12,1,mask_Level-II.nii.gz
49FD964E60B24B,1,mask_CTVn_L2.nii.gz
4A44533D80844E,1,mask_Level-II.nii.gz
4A4D6D09987408,1,mask_CTVn_L2.nii.gz
4A6D3565761F75,1,mask_CTV-Level-II.nii.gz
4A836FAD73C3E2,1,mask_CTVn_L2.nii.gz
4AB9790AB34D7C,2,mask_Level-II.nii.gz|mask_ph_level-II.nii.gz
4B1B6D7110F4E1,1,mask_Level_2.nii.gz
4B60E335E8ECE8,1,mask_Level_2.nii.gz
4BB3A0F00A2CFB,1,mask_Level-II.nii.gz
4BC0799E3BFE73,1,mask_CTVn_L2.nii.gz
4BC637FA66FE4E,1,mask_Level-II.nii.gz
4BD953DC49D4B4,1,mask_CTVn_L2.nii.gz
4CA424EC73A0EF,1,mask_CTVn_L2.nii.gz
4CBBB1949D8525,1,mask_Level-II.nii.gz
4CEB2A62857AA3,1,mask_Level-II.nii.gz
4D3A62FCBC7675,1,mask_Level-II.nii.gz
4D904B9A295F04,1,mask_CTVn_L2.nii.gz
4DCA54F71F453D,1,mask_CTVn_L2.nii.gz
4DE5C1627DEF5F,1,mask_CTVn_L2.nii.gz
4E14051BC28FC2,1,mask_CTVn_L2.nii.gz
4E2FEF83D121D9,1,mask_Level-II.nii.gz
4E719F9D5DC522,1,mask_CTVn_L2.nii.gz
4E9B557EC09DF2,1,mask_CTVn_L2.nii.gz
4EEFA137C3F3AE,1,mask_Level_2.nii.gz
4F360C3E88D4FE,1,mask_CTV-N-L2.nii.gz
4F4EF61B09DB47,1,mask_Level-II.nii.gz
4FA63E09BE7FAE,1,mask_CTVn_L2.nii.gz
4FB1BA9F03B880,1,mask_CTVn_L2.nii.gz
4FE11F8FAA9727,1,mask_CTV-N-L2.nii.gz
4FE3D5006314F9,1,mask_Level-II.nii.gz
4FE4FEC5A350AB,1,mask_Level-II.nii.gz
500D422F46DB28,1,mask_CTVn_L2.nii.gz
5023A051687F59,1,mask_CTVn_L2.nii.gz
503A17A3F243CD,1,mask_Level-II.nii.gz
50691495845D3E,1,mask_CTVn_L2.nii.gz
50A7B26D566DC5,1,mask_Level-II.nii.gz
50BE4B4DA3A527,1,mask_CTV-N-L2.nii.gz
513B55A062D11D,1,mask_CTVn-L2.nii.gz
51439810210711,1,mask_CTV-N-L2.nii.gz
514878675B5E84,1,mask_Level-II.nii.gz
5157D40B1C337F,1,mask_Level-II.nii.gz
5177A9922C441F,1,mask_CTV-N-L2.nii.gz
51882A9D67DF6B,1,mask_Level-II.nii.gz
51BC7E6BBE3099,1,mask_CTVn_L2.nii.gz
5258C9C2FAC313,1,mask_CTVn_L2.nii.gz
525E49D4CB9CA0,1,mask_CTVn_L2.nii.gz
5283C744D99CED,1,mask_Level-II.nii.gz
528918E1B90A94,1,mask_CTVn_L2.nii.gz
529C75945878A5,1,mask_CTVn_L2.nii.gz
52E9F532505B5F,1,mask_CTVn_L2.nii.gz
5329C98DD030EF,1,mask_CTVn_L2.nii.gz
5336DF12108B6C,1,mask_CTVn_L2.nii.gz
5363892691753A,1,mask_CTVn_L2.nii.gz
542C65A3EDB2BE,1,mask_CTVn_L2.nii.gz
543940E18926DF,1,mask_Level-II.nii.gz
544B0701F1AD19,1,mask_Level-II.nii.gz
549B7C925EE526,1,mask_CTVn_L2.nii.gz
553F80B311C378,1,mask_Level-II.nii.gz
55CBC230C345D8,1,mask_Level-II.nii.gz
55EEC1FF87DF6C,1,mask_CTVn_L2.nii.gz
55FEA062A6D899,1,mask_Level-II.nii.gz
5612BFDD95F9B1,1,mask_CTVn_L2.nii.gz
562003D472386F,1,mask_CTVn_L2.nii.gz
5633BA8081F1AA,1,mask_Level-II.nii.gz
56AE4AA056DD1A,1,mask_CTVn_L2.nii.gz
56B69AA6928CF4,1,mask_CTVn_L2.nii.gz
5708199235E6F5,1,mask_CTVn_L2.nii.gz
575FCA41506A89,1,mask_Level-II.nii.gz
57A2F39E84893B,1,mask_Level-II.nii.gz
5815D99687476A,1,mask_Level-II.nii.gz
582F4001913FE3,1,mask_Level-II.nii.gz
582FFB23F7DE40,1,mask_Level-II.nii.gz
58BAED1A0734D6,1,mask_CTVn_L2.nii.gz
58FDA456C73DE7,1,mask_CTVn_L2.nii.gz
59118A5D8E0C57,1,mask_CTVn_L2.nii.gz
5940BCF0C7F461,1,mask_CTVn_L2.nii.gz
59551F38F80C00,1,mask_Level-II.nii.gz
5959297170487F,1,mask_CTVn_-L2.nii.gz
596EA8B5E8CFAE,1,mask_CTV-Level-II.nii.gz
597E0EDD586BE0,1,mask_Level-II.nii.gz
59906248C6CE69,1,mask_CTV-N-L2.nii.gz
59B2F6E9FF320F,1,mask_Level-ll.nii.gz
5AC767F3258CEA,1,mask_Level-II.nii.gz
5AFDF7602EF4CF,1,mask_Level-II.nii.gz
5AFF8D97DC94F4,1,mask_Level-II.nii.gz
5B66D346C0CA2E,1,mask_Level-II.nii.gz
5BA351040A2A70,1,mask_Level-II.nii.gz
5BF94C69FB0CAC,1,mask_CTVn_L2.nii.gz
5C100500140EAB,1,mask_Level-II.nii.gz
5C584CD71DFE60,1,mask_CTVn_L2.nii.gz
5C7809ACE61712,1,mask_CTVn_L2.nii.gz
5CA5D12723C289,1,mask_CTV-Level-II.nii.gz
5CBF5C05D83819,1,mask_Level-II.nii.gz
5D039187FF77EF,1,mask_Level_2.nii.gz
5D155E0C30C8D1,1,mask_Level_2.nii.gz
5DC670C7711B67,1,mask_CTVn_L2.nii.gz
5DD603FB923478,1,mask_Level-II.nii.gz
5DE27E17B441D9,1,mask_Level-II.nii.gz
5DE6F7EFF65BC5,1,mask_Level-II.nii.gz
5E08117434D606,1,mask_CTVn_L2.nii.gz
5E7B1B036A64E1,1,mask_Level-II.nii.gz
5EAA62A05339B0,1,mask_CTVn_L2.nii.gz
5ED843EC7584C9,1,mask_Level-II.nii.gz
5EDB019E5729C1,1,mask_CTVn_L2.nii.gz
5F5DDC9BE9017B,1,mask_Level-II.nii.gz
5FA63784409CE9,1,mask_Level-II.nii.gz
6005064A021F8A,1,mask_Level_2.nii.gz
601896FCA153BD,1,mask_CTVn_L2.nii.gz
6053E8EC160A47,1,mask_CTVn_L2.nii.gz
606A8CFEA4D708,1,mask_CTVn_L2.nii.gz
6100C3D39311CC,1,mask_Level_2.nii.gz
61550C80D409F1,1,mask_CTV-Level-II.nii.gz
61A966E2121756,1,mask_CTV-N-L2.nii.gz
61F16F1FBFD1FE,1,mask_Level-II.nii.gz
61F40CFC08453C,1,mask_Level-II.nii.gz
6210D25E8C8BDB,1,mask_CTV-N-L2.nii.gz
6235D38739E941,1,mask_CTVn_L2.nii.gz
6262D6EE73E3B5,1,mask_Level-II.nii.gz
62AA8B6301D169,1,mask_Level-II.nii.gz
636EA879E5142B,1,mask_Level-II.nii.gz
63F29E0CFDA9FF,1,mask_CTVn_L2.nii.gz
640F612C5C8B2D,1,mask_CTVn_L2.nii.gz
6436786B1C82DB,1,mask_Level-II.nii.gz
6468BA3FE5D5B4,1,mask_CTVn_L2.nii.gz
647F5538D4050A,1,mask_Level_2.nii.gz
648CC5306853BF,1,mask_CTV-Level-II.nii.gz
6499841B1596D2,1,mask_CTVn_L2.nii.gz
64B8BEEE84FA03,1,mask_CTVn_L2.nii.gz
64D0CAE8A4F2A1,1,mask_CTV-N-L2.nii.gz
653595B6C2655E,1,mask_CTV-Level-II.nii.gz
6559C00E11CB40,1,mask_Level-II.nii.gz
659BB8FBC8749C,1,mask_CTV-N-L2.nii.gz
65B205D872AF77,1,mask_Level-II.nii.gz
